journal	category1	category2	category3	category4	category5	category6
ACTA MEDICA OKAYAMA	MEDICINE, RESEARCH & EXPERIMENTAL					
ACTA MEDICA PORTUGUESA	MEDICINE, GENERAL & INTERNAL					
ACTA METALLURGICA SINICA	METALLURGY & METALLURGICAL ENGINEERING					
ACTA METALLURGICA SINICA-ENGLISH LETTERS	METALLURGY & METALLURGICAL ENGINEERING					
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA	IMMUNOLOGY	MICROBIOLOGY				
ACTA MICROSCOPICA	MICROSCOPY					
ACTA MONTANISTICA SLOVACA	GEOSCIENCES, MULTIDISCIPLINARY	MINING & MINERAL PROCESSING				
ACTA NATURAE	CELL BIOLOGY					
ACTA NEUROBIOLOGIAE EXPERIMENTALIS	NEUROSCIENCES					
ACTA NEUROCHIRURGICA	CLINICAL NEUROLOGY	SURGERY				
ACTA NEUROLOGICA BELGICA	CLINICAL NEUROLOGY	NEUROSCIENCES				
ACTA NEUROLOGICA SCANDINAVICA	CLINICAL NEUROLOGY					
ACTA NEUROPATHOLOGICA	CLINICAL NEUROLOGY	NEUROSCIENCES	PATHOLOGY			
ACTA NEUROPATHOLOGICA COMMUNICATIONS	NEUROSCIENCES					
ACTA NEUROPSYCHIATRICA	NEUROSCIENCES	PSYCHIATRY				
ACTA NUMERICA	MATHEMATICS					
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	OBSTETRICS & GYNECOLOGY					
ACTA OCEANOLOGICA SINICA	OCEANOGRAPHY					
ACTA ODONTOLOGICA SCANDINAVICA	DENTISTRY, ORAL SURGERY & MEDICINE					
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY	ECOLOGY					
ACTA OF BIOENGINEERING AND BIOMECHANICS	BIOPHYSICS	ENGINEERING, BIOMEDICAL				
ACTA ONCOLOGICA	ONCOLOGY					
ACTA OPHTHALMOLOGICA	OPHTHALMOLOGY					
ACTA ORNITHOLOGICA	ORNITHOLOGY					
ACTA ORTHOPAEDICA	ORTHOPEDICS					
ACTA ORTHOPAEDICA BELGICA	ORTHOPEDICS					
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA	ORTHOPEDICS					
ACTA ORTOPEDICA BRASILEIRA	ORTHOPEDICS					
ACTA OTO-LARYNGOLOGICA	OTORHINOLARYNGOLOGY					
ACTA OTORHINOLARYNGOLOGICA ITALICA	OTORHINOLARYNGOLOGY					
ACTA PAEDIATRICA	PEDIATRICS					
ACTA PALAEONTOLOGICA POLONICA	PALEONTOLOGY					
ACTA PARASITOLOGICA	PARASITOLOGY					
ACTA PAULISTA DE ENFERMAGEM	NURSING					
ACTA PETROLOGICA SINICA	GEOLOGY					
ACTA PHARMACEUTICA	PHARMACOLOGY & PHARMACY					
ACTA PHARMACEUTICA SINICA B	PHARMACOLOGY & PHARMACY					
ACTA PHARMACOLOGICA SINICA	CHEMISTRY, MULTIDISCIPLINARY	PHARMACOLOGY & PHARMACY				
ACTA PHYSICA POLONICA A	PHYSICS, MULTIDISCIPLINARY					
ACTA PHYSICA POLONICA B	PHYSICS, MULTIDISCIPLINARY					
ACTA PHYSICA SINICA	PHYSICS, MULTIDISCIPLINARY					
ACTA PHYSICA SLOVACA	PHYSICS, MULTIDISCIPLINARY					
ACTA PHYSICO-CHIMICA SINICA	CHEMISTRY, PHYSICAL					
ACTA PHYSIOLOGIAE PLANTARUM	PLANT SCIENCES					
ACTA PHYSIOLOGICA	PHYSIOLOGY					
ACTA PHYTOTAXONOMICA ET GEOBOTANICA	PLANT SCIENCES					
ACTA POLONIAE PHARMACEUTICA	PHARMACOLOGY & PHARMACY					
ACTA POLYMERICA SINICA	POLYMER SCIENCE					
ACTA POLYTECHNICA HUNGARICA	ENGINEERING, MULTIDISCIPLINARY					
ACTA PROTOZOOLOGICA	MICROBIOLOGY					
ACTA PSYCHIATRICA SCANDINAVICA	PSYCHIATRY					
ACTA RADIOLOGICA	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING					
ACTA REUMATOLOGICA PORTUGUESA	RHEUMATOLOGY					
ACTA SCIENTIAE VETERINARIAE	VETERINARY SCIENCES					
ACTA SCIENTIARUM-AGRONOMY	AGRONOMY					
ACTA SCIENTIARUM-TECHNOLOGY	MULTIDISCIPLINARY SCIENCES					
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS	HORTICULTURE					
ACTA SOCIETATIS BOTANICORUM POLONIAE	PLANT SCIENCES					
ACTA TROPICA	PARASITOLOGY	TROPICAL MEDICINE				
ACTA VETERINARIA-BEOGRAD	VETERINARY SCIENCES					
ACTA VETERINARIA BRNO	VETERINARY SCIENCES					
ACTA VETERINARIA HUNGARICA	VETERINARY SCIENCES					
ACTA VETERINARIA SCANDINAVICA	VETERINARY SCIENCES					
ACTA VIROLOGICA	VIROLOGY					
ACTA ZOOLOGICA	ANATOMY & MORPHOLOGY	ZOOLOGY				
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE	ZOOLOGY					
ACTA ZOOLOGICA BULGARICA	ZOOLOGY					
ACTAS ESPANOLAS DE PSIQUIATRIA	NEUROSCIENCES	PSYCHIATRY				
ACTAS UROLOGICAS ESPANOLAS	UROLOGY & NEPHROLOGY					
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH	INTEGRATIVE & COMPLEMENTARY MEDICINE	NEUROSCIENCES				
ACUPUNCTURE IN MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE					
AD HOC & SENSOR WIRELESS NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS	TELECOMMUNICATIONS				
AD HOC NETWORKS	COMPUTER SCIENCE, INFORMATION SYSTEMS	TELECOMMUNICATIONS				
ADANSONIA	PLANT SCIENCES					
ADAPTED PHYSICAL ACTIVITY QUARTERLY	REHABILITATION	SPORT SCIENCES				
ADAPTIVE BEHAVIOR	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE					
ADDICTION	PSYCHIATRY	SUBSTANCE ABUSE				
ADDICTION BIOLOGY	BIOCHEMISTRY & MOLECULAR BIOLOGY	SUBSTANCE ABUSE				
ADDICTIVE BEHAVIORS	SUBSTANCE ABUSE					
ADICCIONES	SUBSTANCE ABUSE					
