journal	category1	category2	category3	category4	category5	category6
ADVANCES IN COMPLEX SYSTEMS	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS	MULTIDISCIPLINARY SCIENCES				
ADVANCES IN COMPUTATIONAL MATHEMATICS	MATHEMATICS, APPLIED					
ADVANCES IN COMPUTERS	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	COMPUTER SCIENCE, SOFTWARE ENGINEERING				
ADVANCES IN CONCRETE CONSTRUCTION	CONSTRUCTION & BUILDING TECHNOLOGY	ENGINEERING, CIVIL	MATERIALS SCIENCE, MULTIDISCIPLINARY			
ADVANCES IN CONDENSED MATTER PHYSICS	PHYSICS, CONDENSED MATTER					
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION	STATISTICS & PROBABILITY					
ADVANCES IN DIFFERENCE EQUATIONS	MATHEMATICS	MATHEMATICS, APPLIED				
ADVANCES IN DIFFERENTIAL EQUATIONS	MATHEMATICS	MATHEMATICS, APPLIED				
ADVANCES IN ECOLOGICAL RESEARCH	ECOLOGY					
ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	ENGINEERING, ELECTRICAL & ELECTRONIC				
ADVANCES IN ENGINEERING SOFTWARE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	COMPUTER SCIENCE, SOFTWARE ENGINEERING	ENGINEERING, MULTIDISCIPLINARY			
ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY	BIOLOGY	MEDICINE, RESEARCH & EXPERIMENTAL				
ADVANCES IN GENETICS	GENETICS & HEREDITY					
ADVANCES IN GEOMETRY	MATHEMATICS					
ADVANCES IN GEOPHYSICS	GEOSCIENCES, MULTIDISCIPLINARY					
ADVANCES IN HEALTH SCIENCES EDUCATION	EDUCATION, SCIENTIFIC DISCIPLINES	HEALTH CARE SCIENCES & SERVICES				
ADVANCES IN HETEROCYCLIC CHEMISTRY	CHEMISTRY, ORGANIC					
ADVANCES IN HIGH ENERGY PHYSICS	PHYSICS, PARTICLES & FIELDS					
ADVANCES IN HUMAN GENETICS	GENETICS & HEREDITY					
ADVANCES IN IMMUNOLOGY	IMMUNOLOGY					
ADVANCES IN INORGANIC CHEMISTRY	CHEMISTRY, INORGANIC & NUCLEAR					
ADVANCES IN INSECT PHYSIOLOGY	ENTOMOLOGY					
ADVANCES IN MANUFACTURING	ENGINEERING, MANUFACTURING					
ADVANCES IN MARINE BIOLOGY	MARINE & FRESHWATER BIOLOGY					
ADVANCES IN MATERIALS SCIENCE AND ENGINEERING	MATERIALS SCIENCE, MULTIDISCIPLINARY					
ADVANCES IN MATHEMATICAL PHYSICS	PHYSICS, MATHEMATICAL					
ADVANCES IN MATHEMATICS	MATHEMATICS					
ADVANCES IN MATHEMATICS OF COMMUNICATIONS	COMPUTER SCIENCE, THEORY & METHODS	MATHEMATICS, APPLIED				
ADVANCES IN MECHANICAL ENGINEERING	ENGINEERING, MECHANICAL	THERMODYNAMICS				
ADVANCES IN MEDICAL SCIENCES	MEDICINE, RESEARCH & EXPERIMENTAL					
ADVANCES IN METEOROLOGY	METEOROLOGY & ATMOSPHERIC SCIENCES					
ADVANCES IN MICROBIAL PHYSIOLOGY	BIOCHEMISTRY & MOLECULAR BIOLOGY	MICROBIOLOGY				
ADVANCES IN NANO RESEARCH	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY				
ADVANCES IN NEONATAL CARE	NURSING					
ADVANCES IN NONLINEAR ANALYSIS	MATHEMATICS	MATHEMATICS, APPLIED				
ADVANCES IN NURSING SCIENCE	NURSING					
ADVANCES IN NUTRITION	NUTRITION & DIETETICS					
ADVANCES IN OPTICS AND PHOTONICS	OPTICS					
ADVANCES IN ORGANOMETALLIC CHEMISTRY	CHEMISTRY, INORGANIC & NUCLEAR	CHEMISTRY, ORGANIC				
ADVANCES IN PARASITOLOGY	PARASITOLOGY					
ADVANCES IN PHYSICAL ORGANIC CHEMISTRY	CHEMISTRY, ORGANIC	CHEMISTRY, PHYSICAL				
ADVANCES IN PHYSICS	PHYSICS, CONDENSED MATTER					
ADVANCES IN PHYSIOLOGY EDUCATION	EDUCATION, SCIENTIFIC DISCIPLINES	PHYSIOLOGY				
ADVANCES IN POLYMER SCIENCE	POLYMER SCIENCE					
ADVANCES IN POLYMER TECHNOLOGY	ENGINEERING, CHEMICAL	POLYMER SCIENCE				
ADVANCES IN PRODUCTION ENGINEERING & MANAGEMENT	ENGINEERING, MANUFACTURING	MATERIALS SCIENCE, MULTIDISCIPLINARY				
ADVANCES IN PROTEIN CHEMISTRY AND STRUCTURAL BIOLOGY	BIOCHEMISTRY & MOLECULAR BIOLOGY					
ADVANCES IN PSYCHOSOMATIC MEDICINE	CLINICAL NEUROLOGY	PSYCHIATRY				
ADVANCES IN QUANTUM CHEMISTRY	CHEMISTRY, PHYSICAL					
ADVANCES IN SKIN & WOUND CARE	DERMATOLOGY	NURSING	SURGERY			
ADVANCES IN SPACE RESEARCH	ASTRONOMY & ASTROPHYSICS	GEOSCIENCES, MULTIDISCIPLINARY	METEOROLOGY & ATMOSPHERIC SCIENCES			
ADVANCES IN STRUCTURAL ENGINEERING	CONSTRUCTION & BUILDING TECHNOLOGY	ENGINEERING, CIVIL				
ADVANCES IN THE STUDY OF BEHAVIOR	BEHAVIORAL SCIENCES					
ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS	PHYSICS, MATHEMATICAL	PHYSICS, PARTICLES & FIELDS				
ADVANCES IN THERAPY	MEDICINE, RESEARCH & EXPERIMENTAL	PHARMACOLOGY & PHARMACY				
ADVANCES IN VIRUS RESEARCH	VIROLOGY					
ADVANCES IN WATER RESOURCES	WATER RESOURCES					
ADVANCES IN WOUND CARE	DERMATOLOGY					
AEOLIAN RESEARCH	GEOGRAPHY, PHYSICAL					
AEQUATIONES MATHEMATICAE	MATHEMATICS	MATHEMATICS, APPLIED				
AEROBIOLOGIA	BIOLOGY	ENVIRONMENTAL SCIENCES				
AERONAUTICAL JOURNAL	ENGINEERING, AEROSPACE					
AEROSOL AND AIR QUALITY RESEARCH	ENVIRONMENTAL SCIENCES					
AEROSOL SCIENCE AND TECHNOLOGY	ENGINEERING, CHEMICAL	ENGINEERING, MECHANICAL	ENVIRONMENTAL SCIENCES	METEOROLOGY & ATMOSPHERIC SCIENCES		
AEROSPACE AMERICA	ENGINEERING, AEROSPACE					
AEROSPACE MEDICINE AND HUMAN PERFORMANCE	BIOPHYSICS	MEDICINE, RESEARCH & EXPERIMENTAL	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH			
AEROSPACE SCIENCE AND TECHNOLOGY	ENGINEERING, AEROSPACE					
AESTHETIC PLASTIC SURGERY	SURGERY					
AESTHETIC SURGERY JOURNAL	SURGERY					
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS	ENGINEERING, ELECTRICAL & ELECTRONIC	TELECOMMUNICATIONS				
AFINIDAD	CHEMISTRY, MULTIDISCIPLINARY					
AFRICAN ENTOMOLOGY	ENTOMOLOGY					
AFRICAN HEALTH SCIENCES	MEDICINE, GENERAL & INTERNAL					
AFRICAN INVERTEBRATES	ENTOMOLOGY	PALEONTOLOGY	ZOOLOGY			
AFRICAN JOURNAL OF AQUATIC SCIENCE	MARINE & FRESHWATER BIOLOGY					
AFRICAN JOURNAL OF ECOLOGY	ECOLOGY					
AFRICAN JOURNAL OF HERPETOLOGY	ZOOLOGY					
AFRICAN JOURNAL OF MARINE SCIENCE	MARINE & FRESHWATER BIOLOGY					
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE	ECOLOGY	ENVIRONMENTAL SCIENCES				
AFRICAN JOURNAL OF WILDLIFE RESEARCH	ECOLOGY	ZOOLOGY				
AFRICAN NATURAL HISTORY	BIODIVERSITY CONSERVATION					
AFRICAN ZOOLOGY	ZOOLOGY					
AGE AND AGEING	GERIATRICS & GERONTOLOGY					
AGEING RESEARCH REVIEWS	CELL BIOLOGY	GERIATRICS & GERONTOLOGY				
AGGRESSIVE BEHAVIOR	BEHAVIORAL SCIENCES					
AGING-US	CELL BIOLOGY	GERIATRICS & GERONTOLOGY				
AGING & MENTAL HEALTH	GERIATRICS & GERONTOLOGY	PSYCHIATRY				
AGING AND DISEASE	GERIATRICS & GERONTOLOGY					
AGING CELL	CELL BIOLOGY	GERIATRICS & GERONTOLOGY				
AGING CLINICAL AND EXPERIMENTAL RESEARCH	GERIATRICS & GERONTOLOGY					
AGING MALE	ENDOCRINOLOGY & METABOLISM	UROLOGY & NEPHROLOGY				
AGRARFORSCHUNG SCHWEIZ	AGRICULTURE, MULTIDISCIPLINARY					
AGREKON	AGRICULTURAL ECONOMICS & POLICY					
AGRIBUSINESS	AGRICULTURAL ECONOMICS & POLICY	FOOD SCIENCE & TECHNOLOGY				
AGRICULTURAL AND FOOD SCIENCE	AGRICULTURE, MULTIDISCIPLINARY	FOOD SCIENCE & TECHNOLOGY				
AGRICULTURAL AND FOREST ENTOMOLOGY	ENTOMOLOGY					
AGRICULTURAL AND FOREST METEOROLOGY	AGRONOMY	FORESTRY	METEOROLOGY & ATMOSPHERIC SCIENCES			
AGRICULTURAL ECONOMICS	AGRICULTURAL ECONOMICS & POLICY					
AGRICULTURAL ECONOMICS-ZEMEDELSKA EKONOMIKA	AGRICULTURAL ECONOMICS & POLICY					
AGRICULTURAL HISTORY	AGRICULTURE, MULTIDISCIPLINARY	HISTORY & PHILOSOPHY OF SCIENCE				
AGRICULTURAL SYSTEMS	AGRICULTURE, MULTIDISCIPLINARY					
AGRICULTURAL WATER MANAGEMENT	AGRONOMY	WATER RESOURCES				
AGRICULTURE AND HUMAN VALUES	AGRICULTURE, MULTIDISCIPLINARY	HISTORY & PHILOSOPHY OF SCIENCE				
AGRICULTURE ECOSYSTEMS & ENVIRONMENT	AGRICULTURE, MULTIDISCIPLINARY	ECOLOGY	ENVIRONMENTAL SCIENCES			
AGROCHIMICA	CHEMISTRY, APPLIED	SOIL SCIENCE				
AGROCIENCIA	AGRICULTURE, MULTIDISCIPLINARY					
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS	AGRICULTURE, MULTIDISCIPLINARY	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY				
AGROFORESTRY SYSTEMS	AGRONOMY	FORESTRY				
AGRONOMY-BASEL	AGRONOMY	PLANT SCIENCES				
AGRONOMY FOR SUSTAINABLE DEVELOPMENT	AGRONOMY	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY				
AGRONOMY JOURNAL	AGRONOMY					
AI COMMUNICATIONS	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE					
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFAC TURING	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS	ENGINEERING, MANUFACTURING	ENGINEERING, MULTIDISCIPLINARY		
AI MAGAZINE	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE					
AIAA JOURNAL	ENGINEERING, AEROSPACE					
AICHE JOURNAL	ENGINEERING, CHEMICAL					
AIDS	IMMUNOLOGY	INFECTIOUS DISEASES	VIROLOGY			
AIDS PATIENT CARE AND STDS	INFECTIOUS DISEASES					
AIDS RESEARCH AND HUMAN RETROVIRUSES	IMMUNOLOGY	INFECTIOUS DISEASES	VIROLOGY			
AIDS RESEARCH AND THERAPY	INFECTIOUS DISEASES					
AIDS REVIEWS	IMMUNOLOGY	INFECTIOUS DISEASES				
AIP ADVANCES	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY	PHYSICS, APPLIED			
AIR QUALITY ATMOSPHERE AND HEALTH	ENVIRONMENTAL SCIENCES					
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY	ENGINEERING, AEROSPACE					
AJAR-AFRICAN JOURNAL OF AIDS RESEARCH	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH					
AKTUELLE RHEUMATOLOGIE	RHEUMATOLOGY					
AKTUELLE UROLOGIE	UROLOGY & NEPHROLOGY					
ALCHERINGA	PALEONTOLOGY					
ALCOHOL	PHARMACOLOGY & PHARMACY	SUBSTANCE ABUSE	TOXICOLOGY			
ALCOHOL AND ALCOHOLISM	SUBSTANCE ABUSE					
ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH	SUBSTANCE ABUSE					
ALDRICHIMICA ACTA	CHEMISTRY, ORGANIC					
ALEA-LATIN AMERICAN JOURNAL OF PROBABILITY AND MATHEMATICAL STATISTICS	STATISTICS & PROBABILITY					
ALGAE	MARINE & FRESHWATER BIOLOGY	PLANT SCIENCES				
ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS	BIOTECHNOLOGY & APPLIED MICROBIOLOGY					
ALGEBRA & NUMBER THEORY	MATHEMATICS					
ALGEBRA AND LOGIC	LOGIC	MATHEMATICS				
ALGEBRA COLLOQUIUM	MATHEMATICS	MATHEMATICS, APPLIED				
ALGEBRA UNIVERSALIS	MATHEMATICS					
ALGEBRAIC AND GEOMETRIC TOPOLOGY	MATHEMATICS					
ALGEBRAS AND REPRESENTATION THEORY	MATHEMATICS					
ALGORITHMICA	COMPUTER SCIENCE, SOFTWARE ENGINEERING	MATHEMATICS, APPLIED				
ALGORITHMS FOR MOLECULAR BIOLOGY	BIOCHEMICAL RESEARCH METHODS	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	MATHEMATICAL & COMPUTATIONAL BIOLOGY			
ALIMENTARY PHARMACOLOGY & THERAPEUTICS	GASTROENTEROLOGY & HEPATOLOGY	PHARMACOLOGY & PHARMACY				
ALLELOPATHY JOURNAL	AGRONOMY					
ALLERGOLOGIA ET IMMUNOPATHOLOGIA	ALLERGY	IMMUNOLOGY				
ALLERGOLOGIE	ALLERGY					
ALLERGOLOGY INTERNATIONAL	ALLERGY	IMMUNOLOGY				
ALLERGY	ALLERGY	IMMUNOLOGY				
ALLERGY AND ASTHMA PROCEEDINGS	ALLERGY					
ALLERGY ASTHMA & IMMUNOLOGY RESEARCH	ALLERGY	IMMUNOLOGY				
ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY	ALLERGY	IMMUNOLOGY				
ALLGEMEINE FORST UND JAGDZEITUNG	FORESTRY					
ALPINE BOTANY	PLANT SCIENCES					
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE					
ALTEX-ALTERNATIVES TO ANIMAL EXPERIMENTATION	MEDICINE, RESEARCH & EXPERIMENTAL					
ALZHEIMER DISEASE & ASSOCIATED DISORDERS	CLINICAL NEUROLOGY	PATHOLOGY				
ALZHEIMERS & DEMENTIA	CLINICAL NEUROLOGY					
ALZHEIMERS RESEARCH & THERAPY	CLINICAL NEUROLOGY	NEUROSCIENCES				
AMA-AGRICULTURAL MECHANIZATION IN ASIA AFRICA AND LATIN AMERICA	AGRICULTURAL ENGINEERING					
AMB EXPRESS	BIOTECHNOLOGY & APPLIED MICROBIOLOGY					
AMBIO	ENGINEERING, ENVIRONMENTAL	ENVIRONMENTAL SCIENCES				
AMBIX	HISTORY & PHILOSOPHY OF SCIENCE					
AMEGHINIANA	PALEONTOLOGY					
AMERICAN BIOLOGY TEACHER	BIOLOGY	EDUCATION, SCIENTIFIC DISCIPLINES				
AMERICAN CERAMIC SOCIETY BULLETIN	MATERIALS SCIENCE, CERAMICS					
AMERICAN FAMILY PHYSICIAN	MEDICINE, GENERAL & INTERNAL	PRIMARY HEALTH CARE				
AMERICAN FERN JOURNAL	PLANT SCIENCES					
AMERICAN HEART JOURNAL	CARDIAC & CARDIOVASCULAR SYSTEMS					
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	AGRICULTURAL ECONOMICS & POLICY					
AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS	CLINICAL NEUROLOGY	GERIATRICS & GERONTOLOGY				
AMERICAN JOURNAL OF AUDIOLOGY	AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY	OTORHINOLARYNGOLOGY				
AMERICAN JOURNAL OF BIOETHICS	MEDICAL ETHICS					
AMERICAN JOURNAL OF BOTANY	PLANT SCIENCES					
AMERICAN JOURNAL OF CANCER RESEARCH	ONCOLOGY					
AMERICAN JOURNAL OF CARDIOLOGY	CARDIAC & CARDIOVASCULAR SYSTEMS					
AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS	CARDIAC & CARDIOVASCULAR SYSTEMS	PHARMACOLOGY & PHARMACY				
AMERICAN JOURNAL OF CHINESE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE	MEDICINE, GENERAL & INTERNAL				
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY	DERMATOLOGY					
AMERICAN JOURNAL OF CLINICAL NUTRITION	NUTRITION & DIETETICS					
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS	ONCOLOGY					
AMERICAN JOURNAL OF CLINICAL PATHOLOGY	PATHOLOGY					
AMERICAN JOURNAL OF CRITICAL CARE	CRITICAL CARE MEDICINE	NURSING				
AMERICAN JOURNAL OF DENTISTRY	DENTISTRY, ORAL SURGERY & MEDICINE					
AMERICAN JOURNAL OF DERMATOPATHOLOGY	DERMATOLOGY					
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE	SUBSTANCE ABUSE					
AMERICAN JOURNAL OF EMERGENCY MEDICINE	EMERGENCY MEDICINE					
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	FOOD SCIENCE & TECHNOLOGY	HORTICULTURE			
AMERICAN JOURNAL OF EPIDEMIOLOGY	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH					
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY	MEDICINE, LEGAL	PATHOLOGY				
AMERICAN JOURNAL OF GASTROENTEROLOGY	GASTROENTEROLOGY & HEPATOLOGY					
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	GERIATRICS & GERONTOLOGY	PSYCHIATRY				
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY	PHARMACOLOGY & PHARMACY					
AMERICAN JOURNAL OF HEMATOLOGY	HEMATOLOGY					
AMERICAN JOURNAL OF HOSPICE & PALLIATIVE MEDICINE	HEALTH CARE SCIENCES & SERVICES					
AMERICAN JOURNAL OF HUMAN BIOLOGY	BIOLOGY					
AMERICAN JOURNAL OF HUMAN GENETICS	GENETICS & HEREDITY					
AMERICAN JOURNAL OF HYPERTENSION	PERIPHERAL VASCULAR DISEASE					
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH					
AMERICAN JOURNAL OF INFECTION CONTROL	INFECTIOUS DISEASES	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH				
AMERICAN JOURNAL OF KIDNEY DISEASES	UROLOGY & NEPHROLOGY					
AMERICAN JOURNAL OF MANAGED CARE	HEALTH CARE SCIENCES & SERVICES	MEDICINE, GENERAL & INTERNAL				
AMERICAN JOURNAL OF MATHEMATICS	MATHEMATICS					
AMERICAN JOURNAL OF MEDICAL GENETICS PART A	GENETICS & HEREDITY					
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS	GENETICS & HEREDITY	PSYCHIATRY				
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	GENETICS & HEREDITY					
AMERICAN JOURNAL OF MEDICAL QUALITY	HEALTH CARE SCIENCES & SERVICES					
AMERICAN JOURNAL OF MEDICINE	MEDICINE, GENERAL & INTERNAL					
AMERICAN JOURNAL OF NEPHROLOGY	UROLOGY & NEPHROLOGY					
AMERICAN JOURNAL OF NEURORADIOLOGY	CLINICAL NEUROLOGY	NEUROIMAGING	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING			
AMERICAN JOURNAL OF NURSING	NURSING					
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY	OBSTETRICS & GYNECOLOGY					
AMERICAN JOURNAL OF OPHTHALMOLOGY	OPHTHALMOLOGY					
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS	DENTISTRY, ORAL SURGERY & MEDICINE					
AMERICAN JOURNAL OF OTOLARYNGOLOGY	OTORHINOLARYNGOLOGY					
AMERICAN JOURNAL OF PATHOLOGY	PATHOLOGY					
AMERICAN JOURNAL OF PERINATOLOGY	OBSTETRICS & GYNECOLOGY	PEDIATRICS				
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	EDUCATION, SCIENTIFIC DISCIPLINES	PHARMACOLOGY & PHARMACY				
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	EVOLUTIONARY BIOLOGY					
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	REHABILITATION	SPORT SCIENCES				
AMERICAN JOURNAL OF PHYSICS	EDUCATION, SCIENTIFIC DISCIPLINES	PHYSICS, MULTIDISCIPLINARY				
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY	CELL BIOLOGY	PHYSIOLOGY				
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM	ENDOCRINOLOGY & METABOLISM	PHYSIOLOGY				
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY	GASTROENTEROLOGY & HEPATOLOGY	PHYSIOLOGY				
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	CARDIAC & CARDIOVASCULAR SYSTEMS	PERIPHERAL VASCULAR DISEASE	PHYSIOLOGY			
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY	PHYSIOLOGY	RESPIRATORY SYSTEM				
AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSI OLOGY	PHYSIOLOGY					
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY	PHYSIOLOGY	UROLOGY & NEPHROLOGY				
AMERICAN JOURNAL OF POTATO RESEARCH	AGRONOMY					
AMERICAN JOURNAL OF PREVENTIVE MEDICINE	MEDICINE, GENERAL & INTERNAL	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH				
AMERICAN JOURNAL OF PRIMATOLOGY	ZOOLOGY					
AMERICAN JOURNAL OF PSYCHIATRY	PSYCHIATRY					
AMERICAN JOURNAL OF PUBLIC HEALTH	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH					
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY	IMMUNOLOGY	REPRODUCTIVE BIOLOGY				
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	CRITICAL CARE MEDICINE	RESPIRATORY SYSTEM				
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY	BIOCHEMISTRY & MOLECULAR BIOLOGY	CELL BIOLOGY	RESPIRATORY SYSTEM			
AMERICAN JOURNAL OF RHINOLOGY & ALLERGY	OTORHINOLARYNGOLOGY					
AMERICAN JOURNAL OF ROENTGENOLOGY	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING					
AMERICAN JOURNAL OF SCIENCE	GEOSCIENCES, MULTIDISCIPLINARY					
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY	AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY	REHABILITATION				
AMERICAN JOURNAL OF SPORTS MEDICINE	ORTHOPEDICS	SPORT SCIENCES				
AMERICAN JOURNAL OF SURGERY	SURGERY					
AMERICAN JOURNAL OF SURGICAL PATHOLOGY	PATHOLOGY	SURGERY				
AMERICAN JOURNAL OF THE MEDICAL SCIENCES	MEDICINE, GENERAL & INTERNAL					
AMERICAN JOURNAL OF THERAPEUTICS	PHARMACOLOGY & PHARMACY					
AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH	MEDICINE, RESEARCH & EXPERIMENTAL	ONCOLOGY				
AMERICAN JOURNAL OF TRANSPLANTATION	SURGERY	TRANSPLANTATION				
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	TROPICAL MEDICINE				
AMERICAN JOURNAL OF VETERINARY RESEARCH	VETERINARY SCIENCES					
AMERICAN LABORATORY	CHEMISTRY, ANALYTICAL					
AMERICAN MALACOLOGICAL BULLETIN	MARINE & FRESHWATER BIOLOGY	ZOOLOGY				
AMERICAN MATHEMATICAL MONTHLY	MATHEMATICS					
AMERICAN MIDLAND NATURALIST	BIODIVERSITY CONSERVATION	ECOLOGY				
AMERICAN MINERALOGIST	GEOCHEMISTRY & GEOPHYSICS	MINERALOGY				
AMERICAN MUSEUM NOVITATES	BIODIVERSITY CONSERVATION	ZOOLOGY				
AMERICAN NATURALIST	ECOLOGY	EVOLUTIONARY BIOLOGY				
AMERICAN SCIENTIST	MULTIDISCIPLINARY SCIENCES					
AMERICAN STATISTICIAN	STATISTICS & PROBABILITY					
AMERICAN SURGEON	SURGERY					
AMINO ACIDS	BIOCHEMISTRY & MOLECULAR BIOLOGY					
AMPHIBIA-REPTILIA	ZOOLOGY					
AMPHIBIAN & REPTILE CONSERVATION	ZOOLOGY					
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS	BIOCHEMISTRY & MOLECULAR BIOLOGY	MEDICINE, GENERAL & INTERNAL	MEDICINE, RESEARCH & EXPERIMENTAL			
AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATION	CLINICAL NEUROLOGY					
ANADOLU PSIKIYATRI DERGISI-ANATOLIAN JOURNAL OF PSYCHIATRY	PSYCHIATRY					
ANAEROBE	MICROBIOLOGY					
ANAESTHESIA	ANESTHESIOLOGY					
ANAESTHESIA AND INTENSIVE CARE	ANESTHESIOLOGY	CRITICAL CARE MEDICINE				
ANAESTHESIA CRITICAL CARE & PAIN MEDICINE	ANESTHESIOLOGY					
ANAESTHESIST	ANESTHESIOLOGY					
ANAIS BRASILEIROS DE DERMATOLOGIA	DERMATOLOGY					
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	MULTIDISCIPLINARY SCIENCES					
ANALELE STIINTIFICE ALE UNIVERSITATII OVIDIUS CONSTANTA-SERIA MATEMATICA	MATHEMATICS	MATHEMATICS, APPLIED				
ANALES DE PEDIATRIA	PEDIATRICS					
ANALES DE PSICOLOGIA	PSYCHOLOGY					
ANALES DEL JARDIN BOTANICO DE MADRID	PLANT SCIENCES					
ANALES DEL SISTEMA SANITARIO DE NAVARRA	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH					
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE	ENGINEERING, ELECTRICAL & ELECTRONIC				
ANALYSIS & PDE	MATHEMATICS	MATHEMATICS, APPLIED				
ANALYSIS AND APPLICATIONS	MATHEMATICS	MATHEMATICS, APPLIED				
ANALYSIS AND MATHEMATICAL PHYSICS	MATHEMATICS	MATHEMATICS, APPLIED				
ANALYSIS MATHEMATICA	MATHEMATICS					
ANALYST	CHEMISTRY, ANALYTICAL					
ANALYTICA CHIMICA ACTA	CHEMISTRY, ANALYTICAL					
